Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,MA_5,MA_10,Price_Change,Volatility
2014-02-26,AXISBANK,EQ,1236.75,1232.0,1247.0,1228.2,1238.95,1239.25,1237.76,1876039,232208037215000.0,81586.0,863169.0,0.4601,1213.0799999999992,1171.6749999999984,0.0020214271275520446,36.4546910561262
2015-10-29,AXISBANK,EQ,482.9,485.0,486.4,467.05,467.85,468.95,472.2,22054683,1041411126625000.0,296297.0,12098017.0,0.5485,504.0699999999998,505.14999999999935,-0.028887968523503837,26.21999713952263
2017-12-01,AXISBANK,EQ,535.4,539.4,539.9,531.9,533.75,533.85,535.77,7138045,382435469635000.0,49883.0,4046149.0,0.5668,548.1399999999995,546.2799999999991,-0.0028950317519610413,13.255159372736134
2015-01-21,AXISBANK,EQ,551.4,553.0,556.8,545.55,546.4,547.25,550.41,4459351,245446874945000.0,67173.0,1575052.0,0.3532,531.2900000000002,515.8999999999995,-0.007526296699310819,17.56236743712795
2013-03-05,AXISBANK,EQ,1368.9,1375.0,1408.75,1374.7,1404.35,1403.2,1390.55,1559831,216902173895000.0,56549.0,859808.0,0.5512,1375.9899999999984,1390.4949999999988,0.02505661480020449,25.159302454515363
2017-09-26,AXISBANK,EQ,501.7,500.0,518.2,500.0,512.7,511.95,507.94,5292394,268820797755000.03,72455.0,2990907.0,0.5651,510.18999999999943,513.1449999999992,0.020430536176998304,6.89940214776079
2018-04-10,AXISBANK,EQ,519.3,523.0,549.7,521.4,547.5,546.15,538.72,21689156,1168427381280000.0,190731.0,6069270.0,0.2798,512.1999999999991,509.15999999999923,0.05170421721548246,21.376535032519783
2018-08-14,AXISBANK,EQ,604.9,608.6,621.3,608.6,618.45,618.05,617.28,10225641,631210741880000.0,181950.0,4157885.0,0.4066,611.1599999999992,591.2799999999992,0.021739130434782483,10.297171941691586
2019-07-24,AXISBANK,EQ,728.0,728.0,732.8,709.35,710.15,712.3,716.34,6618279,474097054990000.0,163314.0,3144683.0,0.4752000000000001,727.4799999999982,742.2999999999995,-0.0215659340659341,10.009532955988526
2013-09-03,AXISBANK,EQ,864.3,868.0,874.25,771.35,772.25,782.85,816.78,5918003,483372048430000.0,157050.0,1707974.0,0.2886,833.7599999999995,890.9649999999986,-0.09423811176674757,30.9491195350976
2016-10-30,AXISBANK,EQ,486.9,490.0,491.0,486.2,486.8,487.7,488.62,937701,45817926470000.0,15648.0,391825.0,0.4179,495.37999999999937,513.2599999999992,0.0016430478537687865,18.86738588136884
2020-09-04,AXISBANK,EQ,474.95,469.0,472.95,452.6,457.05,455.2,462.23,29405504,1359208943395000.0,260076.0,9596829.0,0.3264,479.39999999999725,474.01999999999987,-0.041583324560480084,15.581679947823735
2012-02-17,AXISBANK,EQ,1224.3,1248.0,1295.0,1240.0,1277.6,1278.2,1275.02,2929410,373506570175000.0,81642.0,1072022.0,0.3660000000000001,1193.8999999999996,1157.2899999999988,0.04402515723270439,68.75159089066759
2019-10-29,AXISBANK,EQ,710.1,706.5,742.9,704.25,740.0,738.45,726.54,10422117,757210226605000.0,169766.0,4136900.0,0.3969,715.9399999999985,709.5749999999996,0.03992395437262353,12.88183798985976
2015-08-12,AXISBANK,EQ,571.25,569.4,569.8,556.0,559.25,557.85,562.3,4787034,269174339535000.0,81246.0,2923849.0,0.6108,574.0099999999998,574.6449999999995,-0.02345733041575493,10.334977019653126
2020-02-17,AXISBANK,EQ,736.5,737.4,743.1,730.2,738.5,738.4,736.29,4275465,314798107600000.0,68454.0,967309.0,0.2262,745.5799999999977,739.3149999999998,0.0025797691785471866,7.929895963825203
2011-11-21,AXISBANK,EQ,964.2,960.0,971.2,943.15,947.4,947.0,958.46,1995224,191233890280000.0,58459.0,765595.0,0.3837,982.2599999999993,1039.8949999999988,-0.017838622692387562,26.619011063499922
2021-02-10,AXISBANK,EQ,742.5,741.55,746.4,726.1,737.0,734.8,733.3,15140744,1110271040415000.0,218238.0,6113880.0,0.4038000000000001,735.3899999999978,716.7899999999998,-0.010370370370370474,9.659477211372417
